symbol,trades,win_rate,avg_return,total_pnl_usd,avg_bars_held
ADI,47,36.2,0.21,983.0,29.0
SPG,53,39.6,0.19,980.0,25.0
L,58,37.9,0.17,974.0,25.0
SBUX,46,32.6,0.21,974.0,28.0
VLTO,11,27.3,0.7,771.0,28.0
KMB,54,40.7,0.13,721.0,24.0
UDR,49,42.9,0.13,646.0,28.0
SBAC,49,34.7,0.13,631.0,30.0
BBY,48,39.6,0.12,557.0,25.0
VZ,56,33.9,0.09,478.0,24.0
XYL,49,42.9,0.09,452.0,26.0
HON,46,39.1,0.09,398.0,31.0
ULTA,40,37.5,0.09,363.0,30.0
WTW,50,34.0,0.06,297.0,30.0
EXE,21,33.3,0.14,289.0,29.0
CPAY,47,38.3,0.05,239.0,27.0
INTU,51,41.2,0.05,231.0,26.0
CL,56,39.3,0.04,227.0,25.0
HSIC,54,40.7,0.04,220.0,25.0
MKC,50,32.0,0.04,187.0,27.0
DASH,20,30.0,0.06,119.0,31.0
USB,47,44.7,0.02,96.0,30.0
PNW,51,41.2,0.01,53.0,26.0
EBAY,49,38.8,-0.01,-61.0,28.0
VST,41,31.7,-0.02,-90.0,27.0
BKNG,45,42.2,-0.02,-97.0,28.0
REGN,41,31.7,-0.03,-126.0,30.0
DIS,46,30.4,-0.03,-139.0,27.0
CSGP,52,34.6,-0.03,-166.0,25.0
GM,45,37.8,-0.04,-177.0,27.0
CNC,48,31.2,-0.05,-223.0,27.0
AMCR,48,37.5,-0.05,-250.0,27.0
T,50,34.0,-0.06,-279.0,27.0
KVUE,15,40.0,-0.32,-474.0,21.0
OTIS,30,33.3,-0.16,-489.0,26.0
EXR,54,40.7,-0.09,-504.0,25.0
MDT,52,38.5,-0.1,-518.0,26.0
FRT,58,39.7,-0.1,-566.0,24.0
DOW,32,37.5,-0.18,-572.0,27.0
SRE,54,42.6,-0.12,-663.0,29.0
ZBH,45,46.7,-0.18,-788.0,31.0
ZTS,46,47.8,-0.17,-804.0,32.0
MO,50,36.0,-0.16,-809.0,28.0
SOLV,10,20.0,-0.9,-898.0,32.0
CRM,37,37.8,-0.25,-921.0,30.0
EG,55,41.8,-0.17,-939.0,26.0
MAA,50,26.0,-0.19,-958.0,27.0
SWK,50,38.0,-0.2,-1019.0,26.0
PPL,49,46.9,-0.21,-1029.0,32.0
DOC,48,39.6,-0.22,-1073.0,26.0
CPB,47,38.3,-0.23,-1076.0,32.0
SYK,52,34.6,-0.24,-1260.0,27.0
FDXF,1,0.0,-13.49,-1349.0,1.0
HRL,52,32.7,-0.27,-1423.0,27.0
PCG,48,35.4,-0.3,-1432.0,25.0
JKHY,51,39.2,-0.3,-1507.0,28.0
PYPL,52,36.5,-0.32,-1678.0,24.0
HPQ,53,41.5,-0.32,-1684.0,24.0
HBAN,42,35.7,-0.41,-1702.0,28.0
BXP,48,33.3,-0.37,-1770.0,24.0
UNH,49,42.9,-0.36,-1771.0,29.0
BF-B,49,46.9,-0.37,-1817.0,29.0
CVX,58,32.8,-0.32,-1836.0,23.0
MGM,44,47.7,-0.43,-1875.0,28.0
CLX,50,36.0,-0.41,-2056.0,26.0
GPN,45,46.7,-0.47,-2101.0,27.0
STZ,56,37.5,-0.41,-2274.0,24.0
PRU,50,36.0,-0.46,-2284.0,24.0
WY,47,38.3,-0.49,-2306.0,27.0
NCLH,39,46.2,-0.63,-2439.0,30.0
J,45,35.6,-0.59,-2641.0,28.0
ROP,60,28.3,-0.47,-2793.0,23.0
UNP,57,35.1,-0.52,-2952.0,24.0
ABNB,24,37.5,-1.35,-3245.0,23.0
APA,36,38.9,-0.96,-3440.0,26.0
D,52,36.5,-0.68,-3558.0,24.0
PPG,50,38.0,-0.75,-3765.0,24.0
UAL,47,40.4,-0.81,-3813.0,26.0
TAP,57,35.1,-0.69,-3952.0,23.0
NKE,46,30.4,-0.87,-3991.0,23.0
INVH,48,37.5,-0.84,-4042.0,29.0
GIS,58,29.3,-0.71,-4116.0,21.0
DG,48,39.6,-0.91,-4385.0,25.0
ARE,52,44.2,-0.95,-4929.0,27.0
RVTY,45,26.7,-1.11,-4996.0,31.0
BDX,62,35.5,-0.82,-5061.0,23.0
OMC,60,30.0,-0.86,-5182.0,23.0
CI,48,27.1,-1.1,-5299.0,28.0
CAG,53,26.4,-1.05,-5585.0,20.0
SJM,52,30.8,-1.18,-6119.0,24.0
CCI,52,36.5,-1.22,-6324.0,26.0
FIS,43,32.6,-1.5,-6462.0,28.0
INCY,45,28.9,-1.55,-6993.0,28.0
WDAY,50,34.0,-1.49,-7469.0,25.0
IP,44,34.1,-1.72,-7554.0,27.0
IFF,52,26.9,-1.81,-9436.0,25.0
KHC,49,28.6,-2.18,-10672.0,25.0
PSKY,49,28.6,-2.27,-11117.0,23.0
BIIB,55,25.5,-3.76,-20656.0,22.0
